book_id,title,category_id,library_id,publisher_id,author_id,quantity
B-099,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",C-04,L-03,P-49,A-326,8
B-100,Robin War,C-04,L-01,P-36,A-309,9
B-101,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",C-04,L-02,P-47,A-174,4
B-102,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",C-04,L-06,P-49,A-150,1
B-103,Lowriders to the Center of the Earth (Lowriders in Space #2),C-04,L-04,P-49,A-14,4
B-104,El Deafo,C-04,L-04,P-41,A-153,3
B-105,Batman: Europa,C-04,L-04,P-20,A-201,5
B-106,Art Ops Vol. 1,C-04,L-05,P-55,A-298,8
B-107,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",C-04,L-06,P-30,A-167,7
B-108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",C-04,L-01,P-03,A-357,9
B-109,Roller Girl,C-04,L-03,P-50,A-177,5
B-110,"Fruits Basket, Vol. 7 (Fruits Basket #7)",C-04,L-05,P-11,A-262,2
B-111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",C-04,L-02,P-53,A-152,3
B-112,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",C-04,L-05,P-45,A-23,5
B-113,"Fruits Basket, Vol. 5 (Fruits Basket #5)",C-04,L-05,P-02,A-44,8
B-114,"Death Note, Vol. 5: Whiteout (Death Note #5)",C-04,L-01,P-05,A-325,2
B-115,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",C-04,L-01,P-60,A-115,8
B-116,"Fruits Basket, Vol. 4 (Fruits Basket #4)",C-04,L-06,P-58,A-201,3
B-117,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",C-04,L-04,P-16,A-272,3
B-118,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",C-04,L-04,P-38,A-146,10
B-119,"Saga, Volume 3 (Saga (Collected Editions) #3)",C-04,L-07,P-33,A-63,7
B-120,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),C-04,L-03,P-07,A-118,6
B-121,Persepolis: The Story of a Childhood (Persepolis #1-2),C-04,L-03,P-43,A-292,4
B-122,Original Fake,C-04,L-03,P-04,A-292,9
B-123,"Grayson, Vol 3: Nemesis (Grayson #3)",C-04,L-08,P-33,A-275,1
B-124,"Fruits Basket, Vol. 3 (Fruits Basket #3)",C-04,L-05,P-37,A-208,3
B-125,"Black Butler, Vol. 1 (Black Butler #1)",C-04,L-03,P-60,A-215,7
B-126,Awkward,C-04,L-02,P-28,A-243,1
B-127,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",C-04,L-04,P-38,A-36,9
B-128,"Saga, Volume 2 (Saga (Collected Editions) #2)",C-04,L-03,P-37,A-362,7
B-129,"Fruits Basket, Vol. 2 (Fruits Basket #2)",C-04,L-07,P-21,A-148,1
B-130,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",C-04,L-07,P-37,A-178,9
B-131,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",C-04,L-06,P-55,A-34,5
B-132,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",C-04,L-03,P-14,A-254,6
B-133,The Complete Maus (Maus #1-2),C-04,L-07,P-45,A-184,2
B-134,"Skip Beat!, Vol. 01 (Skip Beat! #1)",C-04,L-04,P-40,A-354,3
B-135,"Saga, Volume 1 (Saga (Collected Editions) #1)",C-04,L-02,P-27,A-164,3
B-136,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",C-04,L-06,P-17,A-313,9
B-137,"Paper Girls, Vol. 1 (Paper Girls #1-5)",C-04,L-03,P-06,A-330,5
B-138,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",C-04,L-04,P-04,A-15,5
B-139,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",C-04,L-03,P-39,A-122,2
B-140,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",C-04,L-06,P-15,A-24,6
B-141,"Giant Days, Vol. 1 (Giant Days #1-4)",C-04,L-02,P-41,A-272,2
B-142,"Fruits Basket, Vol. 1 (Fruits Basket #1)",C-04,L-03,P-25,A-344,1
B-143,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",C-04,L-07,P-30,A-98,9
B-144,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",C-04,L-03,P-16,A-169,8
B-145,The Secret Garden,C-05,L-02,P-47,A-49,9
B-146,The Metamorphosis,C-05,L-03,P-58,A-340,7
B-147,The Pilgrim's Progress,C-05,L-04,P-49,A-92,8
B-148,The Hound of the Baskervilles (Sherlock Holmes #5),C-05,L-04,P-32,A-08,2
B-149,Little Women (Little Women #1),C-05,L-03,P-56,A-158,5
B-150,Gone with the Wind,C-05,L-02,P-05,A-118,2
B-151,Candide,C-05,L-02,P-58,A-154,10
B-152,Animal Farm,C-05,L-05,P-38,A-30,9
B-153,Wuthering Heights,C-05,L-03,P-50,A-270,7
B-154,The Picture of Dorian Gray,C-05,L-01,P-59,A-16,5
B-155,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),C-05,L-01,P-29,A-145,7
B-156,Beowulf,C-05,L-07,P-43,A-145,9
B-157,And Then There Were None,C-05,L-08,P-46,A-65,6
B-158,The Story of Hong Gildong,C-05,L-06,P-07,A-309,3
B-159,The Little Prince,C-05,L-01,P-02,A-94,2
B-160,Sense and Sensibility,C-05,L-05,P-12,A-246,4
B-161,Of Mice and Men,C-05,L-05,P-43,A-299,8
B-162,Emma,C-05,L-02,P-51,A-144,6
B-163,Alice in Wonderland (Alice's Adventures in Wonderland #1),C-05,L-07,P-26,A-80,5
B-164,Sophie's World,C-06,L-02,P-07,A-77,3
B-165,The Death of Humanity: and the Case for Life,C-06,L-05,P-33,A-181,10
B-166,The Stranger,C-06,L-05,P-31,A-68,7
B-167,Proofs of God: Classical Arguments from Tertullian to Barth,C-06,L-07,P-16,A-07,6
B-168,Kierkegaard: A Christian Missionary to Christians,C-06,L-02,P-59,A-03,8
B-169,"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",C-06,L-05,P-58,A-129,10
B-170,Critique of Pure Reason,C-06,L-08,P-06,A-28,3
B-171,"Run, Spot, Run: The Ethics of Keeping Pets",C-06,L-04,P-47,A-162,2
B-172,The Nicomachean Ethics,C-06,L-06,P-34,A-289,10
B-173,Meditations,C-06,L-05,P-42,A-66,7
B-174,Beyond Good and Evil,C-06,L-01,P-40,A-180,3
B-175,Chase Me (Paris Nights #2),C-07,L-02,P-24,A-263,10
B-176,Black Dust,C-07,L-06,P-30,A-53,6
B-177,Her Backup Boyfriend (The Sorensen Family #1),C-07,L-01,P-03,A-46,8
B-178,First and First (Five Boroughs #3),C-07,L-05,P-43,A-162,1
B-179,Fifty Shades Darker (Fifty Shades #2),C-07,L-07,P-57,A-46,2
B-180,The Wedding Dress,C-07,L-06,P-44,A-197,3
B-181,Suddenly in Love (Lake Haven #1),C-07,L-08,P-10,A-207,6
B-182,Something More Than This,C-07,L-04,P-02,A-200,5
B-183,Doing It Over (Most Likely To #1),C-07,L-02,P-51,A-161,8
B-184,The Wedding Pact (The O'Malleys #2),C-07,L-07,P-40,A-205,8
B-185,Hold Your Breath (Search and Rescue #1),C-07,L-01,P-45,A-90,9
B-186,Dirty (Dive Bar #1),C-07,L-08,P-15,A-241,10
B-187,Take Me Home Tonight (Rock Star Romance #3),C-07,L-04,P-28,A-170,3
B-188,Off the Hook (Fishing for Trouble #1),C-07,L-05,P-16,A-51,10
B-189,A Gentleman's Position (Society of Gentlemen #3),C-07,L-01,P-46,A-195,8
B-190,"Sit, Stay, Love",C-07,L-04,P-09,A-179,10
B-191,A Girl's Guide to Moving On (New Beginnings #2),C-07,L-03,P-37,A-340,8
B-192,The Perfect Play (Play by Play #1),C-07,L-08,P-26,A-160,7
B-193,Dark Lover (Black Dagger Brotherhood #1),C-07,L-06,P-20,A-70,3
B-194,Changing the Game (Play by Play #2),C-07,L-01,P-16,A-112,2
B-195,A Walk to Remember,C-07,L-02,P-11,A-298,5
B-196,The Purest Hook (Second Circle Tattoos #3),C-07,L-08,P-03,A-74,3
B-197,The Obsession,C-07,L-01,P-57,A-225,9
B-198,Reservations for Two,C-07,L-06,P-38,A-100,9
B-199,Best of My Love (Fool's Gold #20),C-07,L-04,P-54,A-21,2
B-200,Where Lightning Strikes (Bleeding Stars #3),C-07,L-07,P-52,A-116,4
B-201,This One Moment (Pushing Limits #1),C-07,L-05,P-53,A-161,5
B-202,"Rhythm, Chord & Malykhin",C-07,L-03,P-12,A-289,10
B-203,My Perfect Mistake (Over the Top #1),C-07,L-05,P-15,A-212,2
B-204,Listen to Me (Fusion #1),C-07,L-04,P-51,A-272,9
B-205,Imperfect Harmony,C-07,L-06,P-02,A-43,5
B-206,Fighting Fate (Fighting #6),C-07,L-02,P-41,A-285,8
B-207,Deep Under (Walker Security #1),C-07,L-04,P-55,A-73,4
B-208,Charity's Cross (Charles Towne Belles #4),C-07,L-07,P-20,A-15,3
B-209,Bounty (Colorado Mountain #7),C-07,L-06,P-30,A-76,3
B-210,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,C-08,L-04,P-14,A-49,7
B-211,Will You Won't You Want Me?,C-08,L-08,P-05,A-326,8
B-212,Keep Me Posted,C-08,L-01,P-48,A-318,7
B-213,Grey (Fifty Shades #4),C-08,L-06,P-54,A-52,10
B-214,Meternity,C-08,L-06,P-53,A-99,3
B-215,Some Women,C-08,L-06,P-58,A-281,10
B-216,Shopaholic Ties the Knot (Shopaholic #3),C-08,L-06,P-10,A-349,1
B-217,Can You Keep a Secret?,C-08,L-06,P-35,A-272,4
B-218,Twenties Girl,C-08,L-01,P-53,A-87,9
B-219,The Undomestic Goddess,C-08,L-08,P-59,A-272,3
B-220,The Nanny Diaries (Nanny #1),C-08,L-05,P-42,A-156,8
B-221,The Devil Wears Prada (The Devil Wears Prada #1),C-08,L-06,P-14,A-119,9
B-222,Something Borrowed (Darcy & Rachel #1),C-08,L-01,P-55,A-182,6
B-223,Something Blue (Darcy & Rachel #2),C-08,L-06,P-22,A-353,4
B-224,I've Got Your Number,C-08,L-03,P-48,A-228,10
B-225,The Edge of Reason (Bridget Jones #2),C-08,L-08,P-19,A-06,8
B-226,Bridget Jones's Diary (Bridget Jones #1),C-08,L-04,P-16,A-233,3
B-227,Soumission,C-09,L-06,P-59,A-284,10
B-228,Private Paris (Private #10),C-09,L-06,P-42,A-40,4
B-229,"We Love You, Charlie Freeman",C-09,L-04,P-07,A-242,3
B-230,Thirst,C-09,L-05,P-10,A-301,7
B-231,The Murder That Never Was (Forensic Instincts #5),C-09,L-08,P-21,A-85,1
B-232,Tuesday Nights in 1980,C-09,L-05,P-58,A-267,3
B-233,The Vacationers,C-09,L-04,P-10,A-338,2
B-234,The Regional Office Is Under Attack!,C-09,L-05,P-18,A-262,4
B-235,Finders Keepers (Bill Hodges Trilogy #2),C-09,L-06,P-34,A-276,5
B-236,The Time Keeper,C-09,L-05,P-34,A-125,9
B-237,The Testament of Mary,C-09,L-07,P-52,A-238,6
B-238,The First Hostage (J.B. Collins #2),C-09,L-05,P-15,A-286,8
B-239,Take Me with You,C-09,L-01,P-17,A-19,1
B-240,Still Life with Bread Crumbs,C-09,L-06,P-42,A-116,1
B-241,Shtum,C-09,L-07,P-43,A-323,3
B-242,My Name Is Lucy Barton,C-09,L-01,P-34,A-188,8
B-243,My Mrs. Brown,C-09,L-01,P-33,A-103,9
B-244,Mr. Mercedes (Bill Hodges Trilogy #1),C-09,L-02,P-40,A-231,7
B-245,I Am Pilgrim (Pilgrim #1),C-09,L-05,P-48,A-80,7
B-246,Eligible (The Austen Project #4),C-09,L-03,P-05,A-233,7
B-247,Eight Hundred Grapes,C-09,L-02,P-25,A-25,9
B-248,Dear Mr. Knightley,C-09,L-05,P-24,A-13,1
B-249,Cometh the Hour (The Clifton Chronicles #6),C-09,L-08,P-50,A-291,7
B-250,Balloon Animals,C-09,L-03,P-50,A-80,5
B-251,A Man Called Ove,C-09,L-01,P-09,A-231,1
B-252,The Silent Sister (Riley MacPherson #1),C-09,L-07,P-33,A-246,8
B-253,The Dinner Party,C-09,L-01,P-53,A-293,9
B-254,The Improbability of Love,C-09,L-08,P-45,A-184,9
B-255,Mothering Sunday,C-09,L-03,P-43,A-245,6
B-256,Lies and Other Acts of Love,C-09,L-06,P-44,A-352,7
B-257,Daredevils,C-09,L-01,P-04,A-341,4
B-258,11/22/63,C-09,L-03,P-49,A-83,4
B-259,The Shack,C-09,L-02,P-45,A-17,5
B-260,The High Mountains of Portugal,C-09,L-04,P-09,A-33,6
B-261,Miller's Valley,C-09,L-06,P-37,A-140,10
B-262,Hystopia: A Novel,C-09,L-04,P-39,A-167,8
B-263,The Bourne Identity (Jason Bourne #1),C-09,L-02,P-59,A-80,6
B-264,Sister Dear,C-09,L-04,P-30,A-286,6
B-265,Memoirs of a Geisha,C-09,L-04,P-34,A-42,3
B-266,Me Before You (Me Before You #1),C-09,L-03,P-41,A-303,9
B-267,Deception Point,C-09,L-07,P-06,A-287,10
B-268,The Little Paris Bookshop,C-09,L-04,P-08,A-61,7
B-269,The Firm,C-09,L-05,P-49,A-107,9
B-270,The Expatriates,C-09,L-07,P-09,A-31,10
B-271,Siddhartha,C-09,L-05,P-12,A-329,2
B-272,Last One Home (New Beginnings #1),C-09,L-03,P-11,A-10,2
B-273,Digital Fortress,C-09,L-05,P-04,A-84,5
B-274,Atlas Shrugged,C-09,L-03,P-28,A-334,5
B-275,Three-Martini Lunch,C-09,L-01,P-38,A-171,4
B-276,The Nightingale,C-09,L-04,P-07,A-81,9
B-277,The Infinities,C-09,L-05,P-02,A-236,3
B-278,The Husband's Secret,C-09,L-06,P-08,A-73,1
B-279,The Da Vinci Code (Robert Langdon #2),C-09,L-08,P-30,A-123,4
B-280,The Art of Fielding,C-09,L-05,P-19,A-81,3
B-281,Lila (Gilead #3),C-09,L-08,P-14,A-184,10
B-282,Jurassic Park (Jurassic Park #1),C-09,L-05,P-54,A-99,7
B-283,Inferno (Robert Langdon #4),C-09,L-06,P-26,A-365,5
B-284,Crazy Rich Asians (Crazy Rich Asians #1),C-09,L-02,P-34,A-250,3
B-285,Big Little Lies,C-09,L-07,P-58,A-158,3
B-286,The Course of Love,C-09,L-03,P-13,A-174,7
B-287,When I'm Gone,C-09,L-06,P-54,A-226,4
B-288,The Silent Wife,C-09,L-02,P-49,A-195,5
B-289,The Bette Davis Club,C-09,L-06,P-44,A-285,7
B-290,Kitchens of the Great Midwest,C-09,L-06,P-42,A-337,6
B-291,Bright Lines,C-09,L-01,P-31,A-256,7
B-292,Birdsong: A Story in Pictures,C-10,L-06,P-17,A-157,9
B-293,The Bear and the Piano,C-10,L-04,P-41,A-298,4
B-294,The Secret of Dreadwillow Carse,C-10,L-03,P-45,A-144,9
B-295,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,C-10,L-04,P-29,A-179,6
B-296,Little Red,C-10,L-07,P-54,A-258,9
B-297,Walt Disney's Alice in Wonderland,C-10,L-05,P-32,A-09,5
B-298,Twenty Yawns,C-10,L-08,P-16,A-278,7
B-299,Rain Fish,C-10,L-06,P-01,A-291,8
B-300,Once Was a Time,C-10,L-06,P-45,A-18,5
B-301,Luis Paints the World,C-10,L-08,P-49,A-68,7
B-302,Nap-a-Roo,C-10,L-05,P-35,A-117,1
B-303,The Whale,C-10,L-05,P-58,A-11,6
B-304,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",C-10,L-07,P-25,A-184,7
B-305,Raymie Nightingale,C-10,L-03,P-43,A-79,8
B-306,Playing from the Heart,C-10,L-04,P-37,A-321,7
B-307,Maybe Something Beautiful: How Art Transformed a Neighborhood,C-10,L-03,P-40,A-100,3
B-308,The Wild Robot,C-10,L-03,P-39,A-26,3
B-309,The Thing About Jellyfish,C-10,L-07,P-09,A-213,7
B-310,The Lonely Ones,C-10,L-07,P-35,A-131,3
B-311,The Day the Crayons Came Home (Crayons),C-10,L-03,P-36,A-236,4
B-312,The Cat in the Hat (Beginner Books B-1),C-10,L-05,P-55,A-177,6
B-313,Red: The True Story of Red Riding Hood,C-10,L-07,P-57,A-322,7
B-314,Horrible Bear!,C-10,L-05,P-22,A-228,1
B-315,Green Eggs and Ham (Beginner Books B-16),C-10,L-03,P-40,A-274,7
B-316,Counting Thyme,C-10,L-04,P-22,A-59,3
B-317,Are We There Yet?,C-10,L-04,P-18,A-202,4
B-318,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),C-10,L-04,P-09,A-130,6
B-319,Matilda,C-10,L-06,P-23,A-310,10
B-320,Charlie and the Chocolate Factory (Charlie Bucket #1),C-10,L-05,P-59,A-201,5
B-321,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",C-11,L-04,P-37,A-290,8
B-322,You Are What You Love: The Spiritual Power of Habit,C-11,L-04,P-11,A-282,6
B-323,God: The Most Unpleasant Character in All Fiction,C-11,L-06,P-30,A-349,4
B-324,The Book of Mormon,C-11,L-04,P-22,A-260,1
B-325,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",C-11,L-03,P-22,A-20,1
B-326,The Bhagavad Gita,C-11,L-05,P-04,A-163,8
B-327,Choosing Our Religion: The Spiritual Lives of America's Nones,C-11,L-02,P-22,A-206,3
B-328,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,C-12,L-06,P-14,A-106,8
B-329,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,C-12,L-03,P-15,A-186,6
B-330,Reasons to Stay Alive,C-12,L-06,P-23,A-37,2
B-331,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,C-12,L-05,P-15,A-07,2
B-332,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",C-12,L-05,P-56,A-320,8
B-333,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,C-12,L-07,P-21,A-141,1
B-334,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,C-12,L-06,P-12,A-213,1
B-335,The Gutsy Girl: Escapades for Your Life of Epic Adventure,C-12,L-01,P-04,A-269,8
B-336,The Electric Pencil: Drawings from Inside State Hospital No. 3,C-12,L-02,P-21,A-294,9
B-337,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,C-12,L-01,P-05,A-177,8
B-338,Reskilling America: Learning to Labor in the Twenty-First Century,C-12,L-03,P-56,A-160,4
B-339,In the Country We Love: My Family Divided,C-12,L-05,P-46,A-299,2
B-340,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,C-12,L-04,P-47,A-186,5
B-341,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,C-12,L-01,P-18,A-151,6
B-342,Algorithms to Live By: The Computer Science of Human Decisions,C-12,L-08,P-49,A-196,6
B-343,The Power of Now: A Guide to Spiritual Enlightenment,C-12,L-03,P-04,A-196,7
B-344,The Omnivore's Dilemma: A Natural History of Four Meals,C-12,L-04,P-31,A-170,4
B-345,The Genius of Birds,C-12,L-07,P-55,A-181,5
